,title_year,start_year,runtime_minutes,genres,averagerating,numvotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western,release_date,production_budget,domestic_gross,worldwide_gross,total_gross,gross_less_budget
1387,Dangal (2016),2016,161.0,"Action,Biography,Drama",8.5,123638,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-21,9500000,12391761,294654618,307046379,297546379
888,Into the Woods (2014),2014,125.0,"Adventure,Comedy,Drama",6.0,123577,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-12-25,56200000,128002372,213116401,341118773,284918773
336,Jack the Giant Slayer (2013),2013,114.0,"Adventure,Fantasy",6.3,123127,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-03-01,195000000,65187603,197687603,262875206,67875206
899,Before Midnight (2013),2013,109.0,"Drama,Romance",7.9,123107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013-05-24,3000000,8110621,23251930,31362551,28362551
897,The Other Woman (2014),2014,109.0,"Comedy,Romance",6.0,122889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014-04-25,40000000,83911193,195111193,279022386,239022386
105,Green Zone (2010),2010,115.0,"Action,Drama,Thriller",6.8,122132,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010-03-12,100000000,35497337,97523020,133020357,33020357
305,Devil (2010),2010,80.0,"Horror,Mystery,Thriller",6.2,122080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2010-09-17,10000000,33679655,63354114,97033769,87033769
1168,Annabelle (2014),2014,99.0,"Horror,Mystery,Thriller",5.4,122039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2014-10-03,6500000,84273813,256862920,341136733,334636733
477,The Mortal Instruments: City of Bones (2013),2013,130.0,"Action,Fantasy,Horror",5.9,121936,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-08-21,60000000,31165421,75965567,107130988,47130988
1181,Jack Reacher: Never Go Back (2016),2016,118.0,"Action,Thriller",6.1,121892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016-10-21,60000000,58697076,159946489,218643565,158643565
1139,Trainwreck (2015),2015,125.0,"Comedy,Drama,Romance",6.2,121860,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015-07-17,35000000,110212700,141123897,251336597,216336597
204,Last Vegas (2013),2013,105.0,"Comedy,Drama",6.6,121409,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-01-28,28000000,63914167,112914167,176828334,148828334
81,The Kids Are All Right (2010),2010,106.0,"Comedy,Drama,Romance",7.0,120656,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-07-09,4000000,20811365,36275469,57086834,53086834
218,First Man (2018),2018,141.0,"Biography,Drama,History",7.4,120009,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-12,60000000,44936545,105203825,150140370,90140370
862,Pixels (2015),2015,105.0,"Action,Comedy,Sci-Fi",5.6,119789,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-07-24,90000000,78765986,244041804,322807790,232807790
1032,Crimson Peak (2015),2015,119.0,"Drama,Fantasy,Horror",6.5,119287,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-16,55000000,31090320,74966854,106057174,51057174
1251,Snowden (2016),2016,134.0,"Biography,Drama,Thriller",7.3,119149,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016-09-16,50000000,21587519,35380918,56968437,6968437
69,The Book Thief (2013),2013,131.0,"Drama,War",7.6,119023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013-11-08,19000000,21488481,76086711,97575192,78575192
1176,Transformers: The Last Knight (2017),2017,154.0,"Action,Adventure,Sci-Fi",5.2,119007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-06-21,217000000,130168683,602893340,733062023,516062023
265,Scream 4 (2011),2011,111.0,"Horror,Mystery",6.2,118779,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2011-04-15,40000000,38180928,95989590,134170518,94170518
696,The Campaign (2012),2012,85.0,Comedy,6.1,118678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-08-10,95000000,86907746,104907746,191815492,96815492
849,Dumb and Dumber To (2014),2014,109.0,"Adventure,Comedy",5.6,118646,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-11-14,40000000,86208010,156553592,242761602,202761602
1009,Joy (2015),2015,124.0,Drama,6.6,118086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-25,60000000,56451232,101134059,157585291,97585291
417,Killer Elite (2011),2011,116.0,"Action,Crime,Thriller",6.5,117711,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011-09-23,70000000,25124986,65409046,90534032,20534032
884,The Monuments Men (2014),2014,118.0,"Comedy,Drama,History",6.1,117638,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-07,70000000,78031620,158702748,236734368,166734368
68,She's Out of My League (2010),2010,104.0,"Comedy,Romance",6.4,117245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-03-12,20000000,32010860,48680977,80691837,60691837
983,Brooklyn (2015),2015,117.0,"Drama,Romance",7.5,117021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015-11-04,11000000,38322743,62076141,100398884,89398884
1292,The Lego Batman Movie (2017),2017,104.0,"Action,Animation,Comedy",7.3,116433,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-02-10,80000000,175750384,310660018,486410402,406410402
923,Kung Fu Panda 3 (2016),2016,95.0,"Action,Adventure,Animation",7.1,116166,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-29,140000000,143528619,517599142,661127761,521127761
1388,The Favourite (2018),2018,119.0,"Biography,Drama,History",7.6,116011,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-11-23,15000000,34366783,94113929,128480712,113480712
